feature,family,view,description
b_side1,color_mean,side1,Mean b channel value within the segmented fruit region.
b_side2,color_mean,side2,Mean b channel value within the segmented fruit region.
R_std_top,color_sd,top,Standard deviation of R channel values within the segmented fruit region.
R_std_side1,color_sd,side1,Standard deviation of R channel values within the segmented fruit region.
R_std_side2,color_sd,side2,Standard deviation of R channel values within the segmented fruit region.
G_std_top,color_sd,top,Standard deviation of G channel values within the segmented fruit region.
G_std_side1,color_sd,side1,Standard deviation of G channel values within the segmented fruit region.
G_std_side2,color_sd,side2,Standard deviation of G channel values within the segmented fruit region.
B_std_top,color_sd,top,Standard deviation of B channel values within the segmented fruit region.
B_std_side1,color_sd,side1,Standard deviation of B channel values within the segmented fruit region.
B_std_side2,color_sd,side2,Standard deviation of B channel values within the segmented fruit region.
L_std_top,color_sd,top,Standard deviation of L channel values within the segmented fruit region.
L_std_side1,color_sd,side1,Standard deviation of L channel values within the segmented fruit region.
L_std_side2,color_sd,side2,Standard deviation of L channel values within the segmented fruit region.
a_std_top,color_sd,top,Standard deviation of a channel values within the segmented fruit region.
a_std_side1,color_sd,side1,Standard deviation of a channel values within the segmented fruit region.
a_std_side2,color_sd,side2,Standard deviation of a channel values within the segmented fruit region.
b_std_top,color_sd,top,Standard deviation of b channel values within the segmented fruit region.
b_std_side1,color_sd,side1,Standard deviation of b channel values within the segmented fruit region.
b_std_side2,color_sd,side2,Standard deviation of b channel values within the segmented fruit region.
dissimilarity_top,texture,top,GLCM dissimilarity texture descriptor within the segmented fruit region.
dissimilarity_side1,texture,side1,GLCM dissimilarity texture descriptor within the segmented fruit region.
dissimilarity_side2,texture,side2,GLCM dissimilarity texture descriptor within the segmented fruit region.
correlation_top,texture,top,GLCM correlation texture descriptor within the segmented fruit region.
correlation_side1,texture,side1,GLCM correlation texture descriptor within the segmented fruit region.
correlation_side2,texture,side2,GLCM correlation texture descriptor within the segmented fruit region.
homogeneity_top,texture,top,GLCM homogeneity texture descriptor within the segmented fruit region.
homogeneity_side1,texture,side1,GLCM homogeneity texture descriptor within the segmented fruit region.
homogeneity_side2,texture,side2,GLCM homogeneity texture descriptor within the segmented fruit region.
contrast_top,texture,top,GLCM contrast texture descriptor within the segmented fruit region.
contrast_side1,texture,side1,GLCM contrast texture descriptor within the segmented fruit region.
contrast_side2,texture,side2,GLCM contrast texture descriptor within the segmented fruit region.
energy_top,texture,top,GLCM energy texture descriptor within the segmented fruit region.
energy_side1,texture,side1,GLCM energy texture descriptor within the segmented fruit region.
energy_side2,texture,side2,GLCM energy texture descriptor within the segmented fruit region.
entropy_top,texture,top,GLCM entropy texture descriptor within the segmented fruit region.
entropy_side1,texture,side1,GLCM entropy texture descriptor within the segmented fruit region.
entropy_side2,texture,side2,GLCM entropy texture descriptor within the segmented fruit region.
